Date,000001.SH,T.CFE,NH0100.NHF,SPX.GI,TY.CBT,CRB.RB
2018-01-02,3348.3259,92.64,1422.97,2695.81,123.6875,194.72
2018-01-03,3369.1084,92.635,1417.58,2713.06,123.8125,195.35
2018-01-04,3385.7102,92.465,1425.7,2723.99,123.6563,195.37
2018-01-05,3391.7501,92.45,1421.28,2743.15,123.4844,193.45
2018-01-08,3409.4795,92.655,1427.7,2747.71,123.4844,192.92
2018-01-09,3413.8996,92.645,1430.53,2751.29,123.0469,194.16
2018-01-10,3421.8343,92.34,1426.44,2748.23,123,194.86
2018-01-11,3425.3449,92.13,1429.46,2767.56,123.0625,195.16
2018-01-12,3428.9407,92.275,1420.62,2786.24,122.9531,196.06
2018-01-15,3410.4882,92.04,1420.11,2786.24,122.9531,196.06
2018-01-16,3436.594,91.97,1404.8,2776.42,122.9688,195.11
2018-01-17,3444.6713,91.75,1402.03,2802.56,122.5781,196.4
2018-01-18,3474.754,91.495,1405.33,2798.03,122.4219,196.34
2018-01-19,3487.864,91.505,1410.07,2810.3,122.125,195.5
2018-01-22,3501.3622,91.79,1412.81,2832.97,122.1875,196.22
2018-01-23,3546.5048,91.755,1408.26,2839.13,122.5,196.94
2018-01-24,3559.4653,91.77,1405.2,2837.54,122.2188,199.51
2018-01-25,3548.307,91.885,1423.81,2839.25,122.4219,199.34
2018-01-26,3558.1288,91.905,1416.22,2872.87,122.0625,200.52
2018-01-29,3523.0007,91.865,1417.5,2853.53,121.8438,199.54
2018-01-30,3488.009,91.785,1405.81,2822.43,121.6406,198.14
2018-01-31,3480.8334,91.94,1402.74,2823.81,121.5938,197.38
2018-02-01,3446.9799,92.13,1395.54,2821.98,121.0938,198.35
2018-02-02,3462.0808,91.97,1403.66,2762.13,120.8125,197.44
2018-02-05,3487.497,91.755,1409.32,2648.94,122,195.611
2018-02-06,3370.652,92.095,1400.68,2695.14,121.2188,195.078
2018-02-07,3309.2598,92.145,1404.44,2681.66,121.0625,192.152
2018-02-08,3262.0504,91.825,1395.37,2581,121.0313,191.613
2018-02-09,3129.8508,92.07,1387.88,2619.55,120.9688,188.204
2018-02-12,3154.1254,92.13,1393.04,2656,120.8594,189.08
2018-02-13,3184.9587,92.02,1396.74,2662.94,121.0469,189.84
2018-02-14,3199.1589,91.94,1408.19,2698.63,120.3906,192.39
2018-02-22,3268.5589,91.7,1410.02,2703.96,120.3594,195.27
2018-02-23,3289.0241,91.795,1429.91,2747.3,120.75,195.99
2018-02-26,3329.5737,92.305,1439.84,2779.6,120.7656,196.75
2018-02-27,3292.0679,92.66,1437.6,2744.28,120.4375,195.39
2018-02-28,3259.408,92.645,1432.39,2713.83,120.0938,193.95
2018-03-01,3273.7549,92.655,1435.66,2677.67,120.5469,193.95
2018-03-02,3254.5283,92.635,1434.35,2691.25,120.1563,194.12
2018-03-05,3256.9263,92.63,1420.22,2720.94,120,196.67
2018-03-06,3289.6419,92.99,1422.04,2728.12,120,196.76
2018-03-07,3271.6683,92.965,1411.07,2726.8,120.0313,194.44
2018-03-08,3288.4055,92.94,1394.13,2738.97,120.2031,193.66
2018-03-09,3307.1656,92.93,1373.03,2786.57,120.0156,195.15
2018-03-12,3326.6992,93.01,1371.24,2783.02,120.1719,194.53
2018-03-13,3310.2389,92.695,1369.78,2765.31,120.3594,194.28
2018-03-14,3291.3819,92.67,1381.94,2749.48,120.5469,194.49
2018-03-15,3291.112,92.81,1377.79,2747.33,120.4531,193.89
2018-03-16,3269.8821,92.83,1372.36,2752.01,120.3594,194.46
2018-03-19,3279.2517,92.92,1356.55,2712.92,120.2656,192.9
2018-03-20,3290.6399,93.225,1352.16,2716.94,119.9688,194.15
2018-03-21,3280.9521,93.175,1347.69,2711.93,120.1406,196.02
2018-03-22,3263.4803,93.395,1352.35,2643.69,120.5625,195.23
2018-03-23,3152.7608,93.97,1314.59,2588.26,120.6719,196.26
2018-03-26,3133.7218,93.8,1308.59,2658.55,120.3906,195.77
2018-03-27,3166.6488,93.78,1317.14,2612.62,120.9844,195.57
2018-03-28,3122.2895,93.75,1305.15,2605,120.8594,194.31
2018-03-29,3160.5306,93.68,1309.71,2640.87,121.0313,195.36
2018-03-30,3168.8966,93.635,1328.01,2640.87,121.0313,195.36
2018-04-02,3163.179,93.65,1334.81,2581.88,121.2344,193.38
2018-04-03,3136.6332,93.47,1333.1,2614.45,120.8906,193.21
2018-04-04,3131.1114,93.55,1329.53,2644.69,120.7031,192.34
2018-04-09,3138.2936,93.81,1340.17,2613.16,120.9375,194.97
2018-04-10,3190.3216,93.52,1345.33,2656.87,120.7656,197.11
2018-04-11,3208.0818,93.74,1339.3,2642.19,120.8906,198.83
2018-04-12,3180.1583,93.9,1333.51,2663.99,120.4531,199.3
2018-04-13,3159.0521,93.88,1338.8,2656.3,120.5,199.7
2018-04-16,3110.6489,94.355,1323.66,2677.84,120.4688,199.55
2018-04-17,3066.7967,94.34,1330.94,2706.39,120.4531,199.38
2018-04-18,3091.3987,95.345,1343.39,2708.64,120.125,202.97
2018-04-19,3117.376,95.12,1369.89,2693.13,119.8594,201.86
2018-04-20,3071.5425,95.075,1350.53,2670.14,119.4688,201.92
2018-04-23,3068.012,94.805,1368.49,2670.29,119.3125,200.73
2018-04-24,3128.9271,94.93,1362.86,2634.56,119.1875,200.08
2018-04-25,3117.9739,94.575,1363.24,2639.4,119.0313,200.69
2018-04-26,3075.0301,94.685,1357.89,2666.94,119.3594,201.22
2018-04-27,3082.2316,94.5,1355.3,2669.91,119.5,201.39
2018-05-02,3081.1773,94.39,1376.22,2635.67,119.5,201.6
2018-05-03,3100.8586,94.59,1374.75,2629.73,119.6875,202.1
2018-05-04,3091.0334,94.77,1374.48,2663.42,119.6563,203.25
2018-05-07,3136.6448,94.405,1379.46,2672.63,119.6719,203.64
2018-05-08,3161.4976,94.035,1376.76,2671.92,119.4375,202.09
2018-05-09,3159.1502,93.885,1366.34,2697.79,119.2188,203.7
2018-05-10,3174.4127,94.125,1372.94,2723.07,119.4063,204.52
2018-05-11,3163.2632,94.1,1383.31,2727.72,119.375,203.56
2018-05-14,3174.032,94.105,1383.52,2730.13,119.1563,203.83
2018-05-15,3192.1183,94.04,1382.35,2711.45,118.6563,203.45
2018-05-16,3169.5652,94.12,1380.23,2722.46,118.5,203.76
2018-05-17,3154.2825,93.895,1377.75,2720.13,118.4688,203.56
2018-05-18,3193.3034,94.07,1379.13,2712.97,118.8906,203.69
2018-05-21,3213.8404,94.3,1378.6,2733.01,118.8906,205.69
2018-05-22,3214.3497,94.66,1371.74,2724.44,118.8906,206.2
2018-05-23,3168.9642,94.67,1363.34,2733.29,119.4063,206.38
2018-05-24,3154.6506,94.575,1370.8,2727.76,119.4844,205.66
2018-05-25,3141.3032,95.085,1367.67,2721.33,120,203.34
2018-05-28,3135.0821,94.89,1366.59,2721.33,120,203.34
2018-05-29,3120.4605,95.06,1384.38,2689.86,120.8281,201.82
2018-05-30,3041.4434,95.15,1374.6,2724.01,120.1875,203.29
2018-05-31,3095.4737,94.78,1385.52,2705.27,120.1719,202.84
2018-06-01,3075.1372,94.865,1390.29,2734.62,119.7656,201.71
2018-06-04,3091.1909,94.64,1384.71,2746.87,119.4375,198.86
2018-06-05,3114.2055,94.53,1385.9,2748.8,119.625,199.19
2018-06-06,3115.1803,94.52,1389.66,2772.35,119.2969,199.01
2018-06-07,3109.4988,94.46,1397.3,2770.37,119.6719,199.49
2018-06-08,3067.1478,94.705,1387.7969,2779.03,119.5,200.04
2018-06-11,3052.7831,94.705,1391.7167,2782,119.4531,199.39
2018-06-12,3079.8018,94.35,1399.9046,2786.85,119.3906,200.14
2018-06-13,3049.7965,94.63,1387.6822,2775.63,119.2656,200.09
2018-06-14,3044.1597,94.93,1394.6524,2782.49,119.4688,199.01
2018-06-15,3021.9008,95.105,1395.2515,2779.66,119.5938,196.24
2018-06-19,2907.8221,95.47,1365.16,2762.59,119.8125,193.624
2018-06-20,2915.7314,95.045,1374.43,2767.32,119.5156,194.98
2018-06-21,2875.8099,95.395,1356.32,2749.76,119.8438,194.4
2018-06-22,2889.7603,95.56,1357.29,2754.88,119.875,197.53
2018-06-25,2859.3364,95.3,1358.52,2717.07,119.9531,195.34
2018-06-26,2844.5081,95.36,1355.28,2723.06,120,197.24
2018-06-27,2813.1775,95.56,1362.31,2699.63,120.3906,198.95
2018-06-28,2786.8966,95.715,1371.58,2716.31,120.2813,198.89
2018-06-29,2847.4181,95.875,1385.87,2718.37,120.125,200.39
2018-07-02,2775.557,96.09,1377.88,2726.71,120.0469,197.5
2018-07-03,2786.8878,95.835,1375.44,2713.22,120.3594,197.48
2018-07-04,2759.126,95.77,1365.95,2713.22,120.2344,197.48
2018-07-05,2733.8819,95.83,1357.53,2736.61,120.3438,196.21
2018-07-06,2747.2285,95.605,1356.19,2759.82,120.375,198.05
2018-07-09,2815.1095,95.48,1365.33,2784.17,120.1406,198.23
2018-07-10,2827.6252,95.54,1362.27,2793.84,120.1875,198.29
2018-07-11,2777.7711,95.83,1355.44,2774.02,120.1719,192.83
2018-07-12,2837.6586,95.75,1364.9,2798.29,120.2188,194
2018-07-13,2831.1837,95.955,1356.35,2801.31,120.3906,193.73
2018-07-16,2814.0418,96.1,1354.77,2798.43,120.1563,191.17
2018-07-17,2798.1259,96.075,1352.52,2809.55,120.125,191.09
2018-07-18,2787.257,96.085,1351.04,2815.62,120.0781,191.47
2018-07-19,2772.5454,96.39,1358.52,2804.49,120.3281,191.42
2018-07-20,2829.2712,95.605,1365.21,2801.83,120,192.62
2018-07-23,2859.5424,95.65,1369.8,2806.98,119.5469,192.49
2018-07-24,2905.5618,95.29,1373.09,2820.4,119.5625,193.19
2018-07-25,2903.6467,95.415,1384.36,2846.07,119.3438,194.66
2018-07-26,2882.2254,95.495,1385.59,2837.44,119.3125,194.99
2018-07-27,2873.5938,95.55,1398.94,2818.82,119.5,194.16
2018-07-30,2869.0495,95.52,1402.62,2802.6,119.375,195.75
2018-07-31,2876.4009,95.9,1408.34,2816.29,119.4219,194.53
2018-08-01,2824.5337,96.1,1400.53,2813.36,119.1406,191.64
2018-08-02,2768.0239,95.98,1403.08,2827.22,119.3125,192.65
2018-08-03,2740.4429,96.17,1415.34,2840.35,119.6094,193.23
2018-08-06,2705.1565,96.08,1435.12,2850.4,119.7031,193.93
2018-08-07,2779.374,95.895,1447.9,2858.45,119.4531,194.49
2018-08-08,2744.0696,95.62,1445.72,2857.7,119.5469,193.04
2018-08-09,2794.3818,95.36,1447.37,2853.58,119.7656,192.43
2018-08-10,2795.3099,95.385,1435.98,2833.28,120.2344,191.69
2018-08-13,2785.872,95.13,1448.57,2821.93,120.1875,190.3
2018-08-14,2780.9646,95.305,1443.01,2839.96,120.0625,190.44
2018-08-15,2723.2576,95.05,1437.91,2818.37,120.3438,186.95
2018-08-16,2705.1917,94.675,1423.74,2840.69,120.3125,188.38
2018-08-17,2668.966,94.485,1434.41,2850.13,120.3281,188.74
2018-08-20,2698.4658,94.59,1445.6,2857.05,120.6719,189.11
2018-08-21,2733.8264,94.595,1445.39,2862.96,120.5625,190.01
2018-08-22,2714.6082,94.75,1447,2861.82,120.625,191.12
2018-08-23,2724.6244,94.755,1433.32,2856.98,120.5156,190.5
2018-08-24,2729.4308,94.645,1442.45,2874.69,120.625,192.08
2018-08-27,2780.899,94.62,1431.94,2896.74,120.3438,192.87
2018-08-28,2777.9808,94.815,1438.38,2897.52,120.125,191.71
2018-08-29,2769.2947,94.84,1430.49,2914.04,120.0625,192.96
2018-08-30,2737.7367,95.045,1432.23,2901.13,120.1875,192.8
2018-08-31,2725.2499,95.12,1426.02,2901.52,120.2188,192.96
2018-09-03,2720.7344,94.925,1415.18,2901.52,120.2188,192.96
2018-09-04,2750.5804,94.795,1415.49,2896.72,119.9375,192.12
2018-09-05,2704.3368,94.69,1411.44,2888.6,119.9531,191.01
2018-09-06,2691.5929,94.745,1422.77,2878.05,120.1875,189.78
2018-09-07,2702.3007,94.685,1417.71,2871.68,119.6406,190.36
2018-09-10,2669.4845,94.42,1431.42,2877.13,119.6719,191.02
2018-09-11,2664.7997,94.145,1413.28,2887.89,119.3125,191.67
2018-09-12,2656.1101,94.335,1413.68,2888.92,119.4063,193.36
2018-09-13,2686.5784,94.37,1422.2,2904.18,119.3594,191.41
2018-09-14,2681.6431,94.485,1419.91,2904.98,119.1406,190.48
2018-09-17,2651.7886,94.55,1417.19,2888.8,119.2344,189.64
2018-09-18,2699.9501,94.39,1423.86,2904.31,118.7188,190.56
2018-09-19,2730.8503,94.225,1429.43,2907.95,118.6719,191.77
2018-09-20,2729.2438,93.94,1431.99,2930.75,118.6875,192.71
2018-09-21,2797.4848,94.185,1437.21,2929.67,118.6875,193.98
2018-09-25,2781.1385,94.21,1438.32,2915.56,118.4688,195.12
2018-09-26,2806.8133,94.46,1440.88,2905.97,118.8125,193.97
2018-09-27,2791.7748,94.725,1432.81,2914,118.7813,194.17
2018-09-28,2821.3501,94.785,1433.16,2913.98,118.7344,195.16
2018-10-08,2716.5104,94.675,1450.27,2884.43,117.6406,199.76
2018-10-09,2721.013,94.77,1476.78,2880.34,117.8125,200.37
2018-10-10,2725.8367,94.805,1484.18,2785.68,118.1875,198.12
2018-10-11,2583.4575,95.165,1464.66,2728.37,118.25,196.63
2018-10-12,2606.9125,95.12,1479.69,2767.13,118.1719,197.94
2018-10-15,2568.0984,94.995,1474.07,2750.79,118.25,199.448
2018-10-16,2546.3296,95.235,1461.57,2809.92,118.1406,199.72
2018-10-17,2561.614,95.165,1477.35,2809.21,117.8594,198.9
2018-10-18,2486.4186,95.49,1457.52,2768.78,118.0938,196.63
2018-10-19,2550.4652,95.32,1452.98,2767.78,117.9844,197.18
2018-10-22,2654.8762,95.15,1461.56,2755.88,117.9688,197.25
2018-10-23,2594.8255,95.33,1457.05,2740.69,118.2344,194.97
2018-10-24,2603.2951,95.47,1464.06,2656.1,118.7656,194.47
2018-10-25,2603.7995,95.535,1457.09,2705.57,118.6719,194.79
2018-10-26,2598.8468,95.56,1456.65,2658.69,119.0156,195.51
2018-10-29,2542.1033,95.78,1441.35,2641.25,118.9219,193.42
2018-10-30,2568.0481,95.75,1442.29,2682.63,118.6719,191.76
2018-10-31,2602.7832,95.81,1433.02,2711.74,118.5313,190.97
2018-11-01,2606.2372,95.95,1415.66,2740.37,118.6563,191.64
2018-11-02,2676.4762,95.5,1412.67,2723.06,118.0469,192.3
2018-11-05,2665.4306,95.575,1415.87,2738.31,118.125,192.58
2018-11-06,2659.3564,95.81,1409.62,2755.45,117.9688,191.21
2018-11-07,2641.342,95.985,1401.91,2813.89,117.8281,191.34
2018-11-08,2635.6322,96.095,1405.33,2806.83,117.7031,189.71
2018-11-09,2598.8715,96.005,1396.41,2781.01,118.1406,188.45
2018-11-12,2630.5195,95.965,1385.44,2726.22,118.4531,187.99
2018-11-13,2654.8795,96.06,1379.7,2722.18,118.5156,184.54
2018-11-14,2632.2425,96.44,1375.63,2701.58,118.7031,188.06
2018-11-15,2668.1704,96.55,1380.9,2730.2,118.8438,185.54
2018-11-16,2679.1097,96.915,1389.46,2736.27,119.25,187.3
2018-11-19,2703.5116,96.785,1382.94,2690.73,119.2656,188.76
2018-11-20,2645.8545,96.705,1366.05,2641.89,119.25,183.78
2018-11-21,2651.5053,96.83,1357.44,2649.93,119.2031,185
2018-11-22,2645.4339,96.595,1350.45,2649.93,119.2031,185
2018-11-23,2579.4831,96.67,1326.44,2632.56,119.3281,179.6
2018-11-26,2575.8101,96.465,1307.29,2673.45,119.2344,180.3
2018-11-27,2574.6792,96.63,1298.09,2682.17,119.2344,179.92
2018-11-28,2601.7365,96.645,1314.74,2743.79,119.2656,181.22
2018-11-29,2567.4434,96.84,1311.37,2737.76,119.375,182.31
2018-11-30,2588.1875,96.68,1317.23,2760.17,119.5156,181.74
2018-12-03,2654.798,96.83,1338.21,2790.37,119.6094,183.51
2018-12-04,2665.9577,97.06,1346.4,2700.06,120.1094,184.14
2018-12-05,2649.8051,97.025,1353.7,2700.06,,183.75
2018-12-06,2605.1813,97.18,1342.95,2695.95,120.2969,181.3
2018-12-07,2605.8876,97.17,1352.76,2633.08,120.6875,184.15
2018-12-10,2584.5822,97.285,1345.68,2637.72,120.6719,181.65
2018-12-11,2594.0881,97.245,1338.34,2636.78,120.4375,181.8
2018-12-12,2602.1526,97.3,1341.3,2651.07,120.1875,182.229
2018-12-13,2634.0491,96.69,1353.41,2650.54,120.25,183.03
2018-12-14,2593.7407,96.56,1354.46,2599.95,120.3906,180.31
2018-12-17,2597.9737,96.26,1358.49,2545.94,120.6563,177.92
2018-12-18,2576.6495,96.47,1351.83,2546.16,120.875,174.42
2018-12-19,2549.5634,96.685,1342.33,2506.96,121.2188,176.21
2018-12-20,2536.2675,97.05,1347.55,2467.42,120.9844,172.67
2018-12-21,2516.2506,96.9,1344.45,2416.62,121.1094,172.13
2018-12-24,2527.0071,96.8,1333.86,2351.1,121.5313,168.36
2018-12-25,2504.819,97.045,1307.47,2351.1,121.5313,168.36
2018-12-26,2498.2939,97.295,1312.09,2467.7,120.9219,172.94
2018-12-27,2483.0864,97.31,1323.05,2488.83,121.2813,170.49
2018-12-28,2493.8962,97.735,1325.01,2485.74,121.7813,170.97
2019-01-02,2465.291,98.105,1314.45,2510.03,122.5,170.39
2019-01-03,2464.3628,98.16,1333.19,2447.89,123.1563,171.55
2019-01-04,2514.8682,97.945,1351.42,2531.94,122.1875,173.35
2019-01-07,2533.0887,97.935,1358.59,2549.69,121.9375,174.63
2019-01-08,2526.4622,98.455,1355.02,2574.41,121.6406,175.96
2019-01-09,2544.3449,98.29,1361.24,2584.96,121.7813,179.04
2019-01-10,2535.0985,98.015,1359.48,2596.64,121.7188,178.6
2019-01-11,2553.8313,98.045,1365.79,2596.26,121.9531,178.08
2019-01-14,2535.7653,97.845,1361.78,2582.61,121.9531,177.79
2019-01-15,2570.3449,97.8,1361.41,2610.3,121.8438,178.98
2019-01-16,2570.4221,98.295,1368.82,2616.1,121.75,179.64
2019-01-17,2559.637,98.33,1369.15,2635.96,121.5156,179.76
2019-01-18,2596.0056,98.08,1388.56,2670.71,121.1406,182.21
2019-01-21,2610.5094,97.96,1395.78,2670.71,121.1406,182.21
2019-01-22,2579.7041,98.03,1384.84,2632.9,121.4844,178.99
2019-01-23,2581.0041,97.77,1388.43,2638.7,121.4531,178.66
2019-01-24,2591.6935,97.8,1387.55,2642.33,121.7344,179.24
2019-01-25,2601.7234,97.635,1392.06,2664.76,121.4219,180.68
2019-01-28,2596.9767,97.68,1393.71,2643.85,121.4844,177.47
2019-01-29,2594.2536,97.905,1391.78,2640,121.7969,179.18
2019-01-30,2575.5756,98.04,1401.86,2681.05,122.0313,180.11
2019-01-31,2584.5724,98.03,1415.34,2704.1,122.4375,179.64
2019-02-01,2618.2323,97.91,1428.06,2706.53,121.9844,180.55
2019-02-11,2653.896,98.285,1434.57,2709.8,122.1719,177.11
2019-02-12,2671.8937,98.235,1433.05,2744.73,121.9844,178.21
2019-02-13,2721.0683,98.15,1423.48,2753.03,121.7344,178.72
2019-02-14,2719.6999,97.92,1428.6,2745.73,122.1406,178.72
2019-02-15,2682.385,97.96,1416.73,2775.6,122.0469,181.33
2019-02-18,2754.3566,97.785,1432.54,2775.6,122.0469,181.33
2019-02-19,2755.6459,98.005,1442.4,2779.76,122.2031,182.24
2019-02-20,2761.2189,97.65,1441.77,2784.7,122.2188,183.27
2019-02-21,2751.8012,97.73,1442.19,2774.88,121.8594,183.41
2019-02-22,2804.2262,97.55,1451.99,2792.67,122.1719,184.06
2019-02-25,2961.2834,97.2,1441.5,2796.11,122.1094,181.75
2019-02-26,2941.5163,96.92,1435.26,2793.9,122.2813,181.4
2019-02-27,2953.8242,97.105,1430.87,2792.38,122.2813,183.23
2019-02-28,2940.9538,96.945,1437.06,2784.49,121.9531,182.75
2019-03-01,2994.005,96.755,1460.76,2803.69,121.6406,181.5
2019-03-04,3027.5755,97.045,1444.69,2792.81,121.875,181.09
2019-03-05,3054.2466,97.12,1440.28,2789.65,121.8906,181.9
2019-03-06,3102.0991,97.235,1437.39,2771.45,122.5781,181.23
2019-03-07,3106.4179,97.73,1438.92,2748.93,122.5781,180.815
2019-03-08,2969.8614,97.755,1425.74,2743.07,122.7031,179.968
2019-03-11,3026.9925,97.67,1420.91,2783.3,122.6406,180.498
2019-03-12,3060.3073,97.725,1433.36,2791.52,122.875,181.31
2019-03-13,3026.9513,97.805,1428.12,2810.92,122.7031,183.41
2019-03-14,2990.685,97.55,1434.07,2808.48,122.6875,183.39
2019-03-15,3021.7512,97.66,1426.8,2822.48,122.9688,183.87
2019-03-18,3096.4176,97.505,1423.71,2832.94,122.8281,184.86
2019-03-19,3090.975,97.385,1427.85,2832.57,122.7344,185.24
2019-03-20,3090.6403,97.43,1422.4,2824.23,123.4531,185.6
2019-03-21,3101.455,97.635,1428.43,2854.88,123.3438,185.37
2019-03-22,3104.1487,97.79,1426.95,2800.71,124.1094,184.15
2019-03-25,3043.0313,98.095,1409.82,2798.36,124.5,184.31
2019-03-26,2997.0954,98.095,1412.42,2818.46,124.3125,185.23
2019-03-27,3022.7196,97.945,1412.63,2805.37,124.7031,183.94
2019-03-28,2994.9434,98.055,1403.86,2815.44,124.4375,183.33
2019-03-29,3090.758,97.915,1414.95,2834.4,124.25,183.75
2019-04-01,3170.361,97.45,1432.31,2867.19,123.5625,185.46
2019-04-02,3176.8227,97.255,1437.42,2867.24,123.7969,186.37
2019-04-03,3216.2952,96.75,1449.89,2873.4,123.4219,186.85
2019-04-04,3246.5714,96.46,1450.92,2879.39,123.5313,187.04
2019-04-08,3244.8103,96.68,1470.57,2895.77,123.4375,188.7
2019-04-09,3239.6639,96.5,1468.93,2878.2,123.5938,188.56
2019-04-10,3241.9299,96.705,1469.83,2888.21,123.8594,189.66
2019-04-11,3189.9619,96.85,1471.43,2888.32,123.5938,187.33
2019-04-12,3188.6256,96.645,1468.24,2907.41,123.0313,188.36
2019-04-15,3177.7866,96.37,1470.75,2905.58,123.1406,187.41
2019-04-16,3253.5978,96.165,1461.43,2907.06,122.8438,187.28
2019-04-17,3263.1179,96.42,1458.83,2900.45,122.8281,186.6
2019-04-18,3250.2012,96.48,1441.22,2905.03,123.1094,187.13
2019-04-19,3270.7973,96.39,1449.42,2905.03,123.1094,187.13
2019-04-22,3215.0426,96.22,1455.13,2907.97,122.9375,187.92
2019-04-23,3198.5938,96.32,1457.7,2933.68,123.1563,187.58
2019-04-24,3201.6137,95.91,1449.9,2927.25,123.5156,186.49
2019-04-25,3123.8261,96.09,1450.77,2926.17,123.3906,185.96
2019-04-26,3086.3989,96.37,1444.12,2939.88,123.7031,184.66
2019-04-29,3062.4985,96.2,1446.52,2943.03,123.5,184.18
2019-04-30,3078.3389,96.675,1454.9,2945.83,123.6875,184.25
2019-05-06,2906.464,96.84,1440.54,2932.47,123.8438,180.68
2019-05-07,2926.3908,96.765,1457.38,2884.05,123.9375,179.49
2019-05-08,2893.7567,96.905,1450.84,2879.42,123.75,179.75
2019-05-09,2850.9537,97.08,1449.69,2870.72,124.0625,179.01
2019-05-10,2939.2106,97.14,1455.32,2881.4,123.875,178.95
2019-05-13,2903.7131,97.41,1449.99,2811.87,124.4375,177.64
2019-05-14,2883.6107,97.29,1435.41,2834.41,124.3906,179.99
2019-05-15,2938.6781,97.315,1451.87,2850.96,124.6875,180.66
2019-05-16,2955.711,97.38,1468.9,2876.32,124.5156,182.32
2019-05-17,2882.2962,97.44,1474.8,2859.53,124.5156,180.99
2019-05-20,2870.6046,96.88,1477.17,2840.23,124.2813,181.7
2019-05-21,2905.9688,96.64,1494.37,2864.36,124.1406,181.97
2019-05-22,2891.7046,96.57,1482.5,2856.27,124.4844,179.54
2019-05-23,2852.5153,96.79,1468.54,2822.24,124.9531,176.92
2019-05-24,2852.9948,96.77,1472.23,2826.06,125.0156,178.63
2019-05-27,2892.3782,96.3,1474,2826.06,125.0156,178.63
2019-05-28,2909.9106,96.54,1477.63,2802.39,125.4063,180.26
2019-05-29,2914.6964,96.87,1479.57,2783.02,125.375,180.34
2019-05-30,2905.8054,96.885,1467.87,2788.86,126.1094,178.76
2019-05-31,2898.6961,96.93,1454.27,2752.06,126.8594,175.36
2019-06-03,2890.0809,97.2,1432.28,2744.45,127.3438,174.72
2019-06-04,2862.2803,97.355,1439.53,2803.27,126.8125,175.49
2019-06-05,2861.4181,97.505,1438.69,2826.15,126.875,172.34
2019-06-06,2827.7978,97.47,1429.12,2843.49,126.9688,173.87
2019-06-10,2852.1302,97.41,1437.5,2886.73,126.7031,174.07
2019-06-11,2925.7162,97.095,1458.17,2885.72,126.7656,174.87
2019-06-12,2909.3796,97.13,1442.14,2879.84,127.0469,173.24
2019-06-13,2910.7406,97.34,1458.67,2891.64,127.3125,174.42
2019-06-14,2881.9743,97.575,1451.85,2886.98,127.4219,174.81
2019-06-17,2887.6221,97.665,1442.74,2889.67,127.2188,174.42
2019-06-18,2890.158,97.49,1442.53,2917.75,127.5,176.1
2019-06-19,2917.8029,97.36,1453.83,2926.46,127.8594,175.43
2019-06-20,2987.1186,97.37,1467.35,2954.18,127.7813,178.63
2019-06-21,3001.9802,97.475,1468.86,2950.46,127.6094,178.52
